(trace_id,session_id,num_lines_in_slice)
(352, 266, 1)
(353, 216, 1)
(353, 228, 1)
(353, 245, 1)
(358, 18, 2)
(367, 15, 3)
(372, 51, 1)
(372, 52, 1)
(372, 55, 10)
(372, 59, 1)
(372, 84, 1)
(372, 90, 2)
(373, 6, 1)
(373, 7, 1)
(379, 27, 9)
(380, 123, 1)
(380, 124, 1)
(397, 39, 1)
(397, 50, 3)
(397, 80, 16)
(397, 85, 5)
(397, 164, 25)
(397, 178, 1)
(397, 195, 6)
(397, 201, 3)
(398, 25, 7)
(415, 330, 4)
(417, 107, 1)
(417, 160, 1)
(417, 175, 1)
(417, 258, 27)
(417, 330, 71)
(426, 50, 2)
(426, 51, 1)
(426, 61, 1)
(426, 118, 2)
(426, 148, 13)
(426, 681, 30)
(426, 801, 1)
(426, 827, 1)
(426, 856, 42)
(426, 998, 1)
(426, 1236, 8)
(426, 1319, 9)
(426, 1350, 1)
(426, 1447, 1)
(426, 1464, 1)
(426, 1551, 1)
(428, 50, 1)
(428, 51, 1)
(428, 61, 1)
(428, 118, 1)
(428, 148, 1)
(428, 681, 32)
(428, 801, 1)
(428, 827, 1)
(428, 856, 51)
(428, 998, 1)
(428, 1236, 1)
(428, 1319, 1)
(428, 1350, 21)
(428, 1351, 488)
(428, 1447, 1)
(428, 1464, 1)
(428, 1551, 1)
(459, 21, 2)
(465, 162, 1)
(465, 182, 1)
(477, 6, 1)
(490, 4, 1)
(490, 6, 1)
(490, 91, 1)
(504, 37, 8)
(504, 46, 1)
(504, 47, 1)
(504, 66, 49)
(504, 67, 1)
(507, 4, 1)
(510, 101, 1)
(518, 105, 2)
(527, 137, 25)
(527, 895, 3)
(528, 81, 26)
(543, 508, 1)
(543, 746, 1)
(543, 755, 1)
(546, 141, 38)
(571, 174, 1)
(571, 190, 138)
(571, 206, 1)
(571, 373, 1)
(571, 966, 4)
(571, 1051, 1)
(572, 174, 1)
(572, 190, 30)
(572, 206, 6)
(572, 373, 1)
(572, 966, 3)
(572, 1051, 1)
(576, 24, 1)
(576, 115, 3)
(577, 24, 1)
(577, 115, 1)
(615, 25, 7)
(626, 17, 2)
(636, 13, 1)
(661, 33, 1)
(661, 66, 1)
(682, 2, 1)
(687, 166, 1)
(687, 907, 1)
(689, 25, 3)
(702, 68, 1)
(705, 304, 17)
(705, 310, 1)
(707, 13, 1)
(707, 16, 1)
(707, 33, 1)
(707, 62, 17)
(716, 6, 1)
(722, 44, 1)
(722, 54, 1)
(722, 80, 1)
(728, 33, 13)
(728, 76, 1)
(728, 595, 29)
(728, 780, 8)
(728, 888, 1)
(728, 920, 1)
(728, 1052, 7)
(728, 1080, 1)
(728, 1112, 1)
(728, 1268, 2)
(728, 1440, 1)
(728, 1449, 1)
(728, 2213, 25)
(728, 3111, 12)
(728, 3250, 1)
(728, 3255, 1)
(730, 10, 2)
(731, 8, 1)
(732, 152, 1)
(732, 154, 3)
(732, 202, 1)
(732, 211, 1)
(732, 222, 1)
(750, 21, 5)
(768, 224, 2)
(768, 229, 1)
(785, 2, 1)
(785, 9, 15)
(791, 78, 1)
(792, 78, 1)
(802, 2, 1)
(806, 3, 63)
(806, 4, 10)
(806, 5, 11)
(806, 9, 10)
(806, 10, 222)
(806, 11, 1)
(807, 40, 29)
(809, 52, 37)
(809, 58, 1)
(818, 277, 1)
(818, 736, 1)
(825, 95, 1)
(825, 98, 1)
(825, 105, 9)
(825, 340, 1)
(825, 375, 1)
(825, 414, 19)
(832, 127, 1)
(833, 29, 16)
(834, 2636, 26)
(839, 435, 1)
(839, 713, 30)
(839, 1356, 1)
(839, 2178, 1)
(839, 2223, 1)
(839, 2310, 1)
(839, 2642, 2)
(839, 3554, 1)
(848, 25, 2)
(851, 76, 1)
(851, 235, 1)
(851, 381, 1)
(851, 483, 1)
(851, 908, 2)
(851, 911, 7)
(851, 985, 1)
(851, 990, 1)
